ID	Original Question	Paraphrasing 1	Paraphrasing 2	SPARQL Query
Q55	What does IYCM stand for ?	Expand IYCM ?	What is the expansion of IYCM?/ What is the full form of IYCM? 	"PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri dbo:abbreviation \""IYCM\"" }"
Q6	Which movies star both Liz Taylor and Richard Burton ?	Give the movies which features both  Liz Taylor and Richard Burton ?	Give me movies acted by both Liz Taylor and Richard Burton .	SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Elizabeth_Taylor> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Richard_Burton> }
Q81	Give me English actors starring in Lovesick .	Which English actors starred in Lovesick .	Tell me English are actors featuring in Lovesick .	PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lovesick_(1983_film)> dbo:starring ?uri . ?uri dbo:birthPlace ?city . ?city dbo:country <http://dbpedia.org/resource/United_Kingdom> }
Q48	In which country is the Limerick Lake ?	Where is Limerick Lake found?	Where does  Limerick Lake  situated?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Limerick_Lake dbo:country ?uri }
Q92	When was Jack Wolfskin founded ?	In which year was Jack Wolfskin founded?	What is the founding year of Jack Wolfskin ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT xsd:date(?year) WHERE { res:Jack_Wolfskin dbo:foundingYear ?year }
Q49	In which time zone is Rome ?	What is Rome's time zone?	Specify the time zone of Rome	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Rome dbo:timeZone ?uri }
Q12	Give me all actors called Baldwin .	Which are all actors known as Baldwin .	Who are the actors called Baldwin ?	SELECT DISTINCT ?uri WHERE { ?uri foaf:surname 'Baldwin'@en . { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Actor> . } UNION { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Actor> . } }
Q40	How many people live in the capital of Australia ?	what is the population of Australia capital ?	What is the population of capital of Australia ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?num WHERE { res:Australia dbo:capital ?x . ?x dbo:populationTotal ?num }
Q39	Who was the wife of U.S. president Lincoln ?	What is the name of the wife of U.S. president Lincoln ?	Who was the first lady when U.S. presiden wast Lincoln ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Abraham_Lincoln dbo:spouse ?uri }
Q33	What is the biggest stadium in Spain ?	What is the name of the biggest stadium in Spain ?	Name the biggest stadium in Spain ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Stadium ; dbo:location res:Spain ; dbo:seatingCapacity ?n } ORDER BY DESC(?n) OFFSET 0 LIMIT 1
Q93	When did the Boston Tea Party take place ?	In which year did the Boston Tea Party happen?	Boston Tea Party happened on which date ?	SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Boston_Tea_Party> <http://dbpedia.org/property/date> ?d }
